search,sample_pa,dC,dP,dD,dS,C,P,D,S,batting_value,h321_baserunning_value,h321_total_value,OPS
CPDS30,20000,15,0,5,10,115,100,105,110,0.3737009999999999,0.009841284175183929,0.3835422841751838,0.8459875136911281
CPDS30,20000,15,0,10,5,115,100,110,105,0.3786254999999999,0.008186111286330528,0.3868116112863304,0.8535765356945213
CPDS30,20000,15,0,15,0,115,100,115,100,0.3805655,0.006715554765730081,0.3872810547657301,0.8542989046607802
CPDS30,20000,15,5,0,10,115,105,100,110,0.375864,0.009841284175183929,0.3857052841751839,0.8527118337580654
CPDS30,20000,15,5,5,5,115,105,105,105,0.3789935,0.008186111286330528,0.3871796112863305,0.8574670244810778
CPDS30,20000,15,5,10,0,115,105,110,100,0.3808955,0.006715554765730081,0.3876110547657301,0.8576901157981802
CPDS30,20000,15,10,0,5,115,110,100,105,0.381634,0.008186111286330528,0.3898201112863305,0.8653037694433907
CPDS30,20000,15,10,5,0,115,110,105,100,0.381396,0.006715554765730081,0.3881115547657301,0.8611936808673748
CPDS30,20000,15,15,0,0,115,115,100,100,0.3792259999999999,0.006715554765730081,0.38594155476573,0.8569180007597548
CPDS30,20000,20,0,0,10,120,100,100,110,0.3704325,0.009841284175183929,0.3802737841751839,0.8385387491870799
CPDS30,20000,20,0,5,5,120,100,105,105,0.375849,0.008186111286330528,0.3840351112863305,0.8496000821018062
CPDS30,20000,20,0,10,0,120,100,110,100,0.3760655,0.006715554765730081,0.3827810547657301,0.8451551557761235
CPDS30,20000,20,5,0,5,120,105,100,105,0.376856,0.008186111286330528,0.38504211128633054,0.8531578927431138
CPDS30,20000,20,5,5,0,120,105,105,100,0.378179,0.006715554765730081,0.3848945547657301,0.8530166083820556
CPDS30,20000,20,10,0,0,120,110,100,100,0.3771529999999999,0.006715554765730081,0.38386855476573,0.8512488707144018
CPDS30,20000,25,0,0,5,125,100,100,105,0.372273,0.008186111286330528,0.38045911128633053,0.8417148099962053
CPDS30,20000,25,0,5,0,125,100,105,100,0.376445,0.006715554765730081,0.3831605547657301,0.8482519359072515
CPDS30,20000,25,5,0,0,125,105,100,100,0.3751135,0.006715554765730081,0.3818290547657301,0.8459974254742547
CPDS30,20000,30,0,0,0,130,100,100,100,0.37339,0.006715554765730081,0.3801055547657301,0.8418705826609628
